Station number,Station name,Region,Rainfall (mm),Mean,Percentile,Years of data,Latitude (°),Longitude (°),Elevation (m)
74127,WAGGA WAGGA (GURWOOD STREET),NSW,1861.7,1736.4,-1.0,11,-35.11,147.36,180
24583,WOODSIDE (INVERBRACKIE),SA,1825.8,2044.7,-1.0,11,-34.95,138.93,447
93049,MOUNT SEYMOUR,TAS,1806.8,1881.2,-1.0,11,-42.37,147.46,628
26103,BOOL LAGOON (LOCKSLEY FARM),SA,1648.2,1654.1,-1.0,11,-37.13,140.73,52
23146,STEINGARTEN VINEYARD (STEINGARTEN),SA,1279.6,1468.2,-1.0,11,-34.60,138.96,463
37058,URANDANGI AERODROME,QLD,1179.2,926.7,-1.0,11,-21.60,138.37,179
9279,CANTERBURY,WA,1092.8,1282.6,-1.0,11,-31.00,116.23,304
10916,KATANNING,WA,1026.6,1256.8,-1.0,11,-33.69,117.61,320
45057,NOCCUNDRA HOTEL,QLD,884.8,603.0,-1.0,11,-27.82,142.59,91
7211,DALGETY DOWNS AIRSTRIP,WA,501.8,611.5,-1.0,11,-25.27,116.22,307
6111,WINDERIE AIRSTRIP,WA,490.0,632.0,-1.0,11,-25.31,115.15,200
7208,MOUNT AUGUSTUS AIRSTRIP,WA,380.4,688.7,-1.0,11,-24.31,116.91,389
33320,MT JUKES,QLD,5922.7,5718.4,-1.0,10,-21.01,148.91,55
14023,GUNN POINT,NT,5514.8,4755.5,-1.0,10,-12.25,131.04,25
33068,MIRANI MARY STREET,QLD,5277.7,4197.9,-1.0,10,-21.16,148.87,43
200375,LORD HOWE ISLAND (ORLANDO),AUS,5166.6,4960.9,-1.0,10,-31.55,159.08,5
14909,CENTRAL ARNHEM PLATEAU,NT,4879.0,3473.2,-1.0,10,-13.33,133.09,416
14314,NOONAMAH AIRSTRIP,NT,4652.0,4508.9,-1.0,10,-12.61,131.05,18
27073,COEN AIRPORT,QLD,3950.8,3394.2,-1.0,10,-13.76,143.12,159
14965,UPPER SEVENTEEN MILE CREEK,NT,3778.6,3523.0,-1.0,10,-14.19,132.40,220
14966,NITMILUK RIDGE,NT,3723.4,3348.3,-1.0,10,-14.31,132.42,212
88103,MARYSVILLE GOLF COURSE,VIC,3630.4,3253.9,-1.0,10,-37.50,145.75,400
40874,BRISBANE ROAD ALERT,QLD,3620.0,2875.2,-1.0,10,-27.61,152.91,-999
40985,BELLBIRD PARK (PURSER RD) AL,QLD,3545.0,3248.2,-1.0,10,-27.67,152.87,57
97080,LOW ROCKY POINT,TAS,3492.6,3886.9,-1.0,10,-42.98,145.50,34
40788,FORESTDALE(JOHNSON RD)AL,QLD,3456.0,3082.8,-1.0,10,-27.66,153.00,80
92111,UPPER ESK (SOUTH ESK RIVER),TAS,3369.2,3381.9,-1.0,10,-41.43,147.72,362
40946,RATHDOWNEY ALERT,QLD,3205.0,2865.5,-1.0,10,-28.22,152.87,84
40778,ZACHARIAH TM,QLD,3171.0,3445.1,-1.0,10,-26.36,152.63,90
29166,RIVERSLEIGH TM,QLD,3143.0,1778.6,-1.0,10,-18.97,138.80,115
2077,SIDDINS CREEK,WA,3015.0,2521.9,-1.0,10,-16.92,126.55,410
40905,UPPER CHERWELL ALERT,QLD,2986.0,2667.2,-1.0,10,-25.29,152.41,30
14868,PIGEON HOLE,NT,2907.8,2475.2,-1.0,10,-16.85,131.16,145
9957,PEACEFUL BAY,WA,2844.2,3139.7,-1.0,10,-35.04,116.92,10
61419,MOUNT PALMER,NSW,2826.0,2713.8,-1.0,10,-31.83,150.35,1050
69150,BRAIDWOOD (MONGARLOWE (LEWESTON)),NSW,2769.6,3281.1,-1.0,10,-35.38,150.00,670
86229,HEALESVILLE (VALLEY VIEW FARM),VIC,2672.4,2672.2,-1.0,10,-37.74,145.53,156
14306,MERLIN MINE,NT,2558.2,2191.6,-1.0,10,-16.82,136.33,190
91255,DEVIOT JETTY,TAS,2508.1,2489.9,-1.0,10,-41.23,146.93,40
33285,THE GAP TM,QLD,2452.0,2259.6,-1.0,10,-23.09,150.11,9
96033,LIAWENEE,TAS,2450.4,2663.1,-1.0,10,-41.90,146.67,1057
85307,JEERALANG NORTH,VIC,2386.2,2349.8,-1.0,10,-38.35,146.44,606
85099,POUND CREEK,VIC,2345.0,2622.7,-1.0,10,-38.63,145.81,3
9831,KING RIVER,WA,2291.3,2372.0,-1.0,10,-34.92,117.89,25
43054,INJUNE TM,QLD,2251.6,1814.6,-1.0,10,-25.84,148.57,390
41503,WARWICK (SCOTS COLLEGE) TM,QLD,2225.0,1677.8,-1.0,10,-28.22,152.05,446
23911,MYLOR (BIGGS FLAT),SA,2179.0,2212.4,-1.0,10,-35.06,138.76,312
41090,DARR CREEK AL,QLD,1929.0,1519.5,-1.0,10,-26.54,151.13,393
26109,LAKE GEORGE (MAHARISHI VEDIC COLLEGE),SA,1925.7,2030.0,-1.0,10,-37.38,139.95,5
79101,PYRENEES (BEN NEVIS),VIC,1915.2,2206.0,-1.0,10,-37.23,143.20,875
23920,WOODSIDE (WICKS ESTATE),SA,1910.6,2052.2,-1.0,10,-34.96,138.87,348
41546,AVOCA TM,QLD,1900.2,1607.8,-1.0,10,-27.98,150.52,290
65084,TOOGONG (GLENAYR),NSW,1843.5,1759.7,-1.0,10,-33.37,148.59,320
44229,CHARLEVILLE AL,QLD,1828.0,1260.0,-1.0,10,-26.40,146.24,288
35129,ROLLESTON AIRPORT,QLD,1795.4,1716.5,-1.0,10,-24.46,148.63,220
61423,BAERAMI (THE OLD DAIRY),NSW,1780.0,1794.9,-1.0,10,-32.38,150.49,205
44223,DERBYSHIRE DOWNS,QLD,1764.2,1940.6,-1.0,10,-25.45,147.30,507
42116,ARDEN DOWNS TM,QLD,1738.6,1525.2,-1.0,10,-28.23,149.56,230
42115,LUNDAVRA TM,QLD,1736.0,1556.5,-1.0,10,-28.07,149.98,240
44212,DUNVEGAN TM,QLD,1716.0,1430.6,-1.0,10,-26.12,146.62,400
37059,NEW MAY DOWNS,QLD,1619.8,1319.3,-1.0,10,-20.59,139.34,392
92124,MARIA ISLAND (POINT LESUEUR),TAS,1615.4,1674.5,-1.0,10,-42.66,148.02,28
200838,HOGAN ISLAND,TAS,1530.8,1895.4,-1.0,10,-39.22,146.98,116
9276,NAMBUNG STATION,WA,1464.2,1566.3,-1.0,10,-30.57,115.22,42
36161,LONGREACH TM,QLD,1356.0,1054.9,-1.0,10,-23.42,144.23,179
9199,LEEMAN,WA,1314.8,1939.9,-1.0,10,-29.95,114.98,2
21137,HOYLETON (ROCKLEIGH),SA,1176.2,1343.0,-1.0,10,-34.00,138.57,224
21136,BURRA (BILLABONG),SA,1144.2,1120.5,-1.0,10,-33.67,138.98,473
49092,BOOLIGAL (YAMBA),NSW,1125.6,1067.8,-1.0,10,-33.70,144.28,79
13040,TJUKAYIRLA,WA,850.2,912.4,-1.0,10,-27.15,124.57,450
31217,ATHERTON SOLAR CRESCENT,QLD,6176.4,4962.3,-1.0,9,-17.26,145.47,769
40416,CLEARVIEW TM,QLD,4763.0,4310.0,-1.0,9,-28.00,153.31,3
97024,WARRA,TAS,4757.2,5211.8,-1.0,9,-43.06,146.70,495
91321,LOONGANA (SERENDIPITY),TAS,4709.6,5352.1,-1.0,9,-41.40,145.93,468
60147,KILLABAKH,NSW,4593.0,3789.9,-1.0,9,-31.73,152.40,-999
97092,STRAHAN (ANDREW STREET),TAS,4221.4,4819.9,-1.0,9,-42.15,145.32,10
40782,COORAN TM,QLD,3831.0,3448.3,-1.0,9,-26.33,152.81,70
58161,GRAFTON AIRPORT AWS,NSW,3763.2,3721.9,-1.0,9,-29.76,153.03,25
40958,REDCLIFFE,QLD,3705.2,3314.1,-1.0,9,-27.22,153.09,13
31180,MOUNT CARBINE TOWNSHIP,QLD,3602.0,3041.1,-1.0,9,-16.53,145.13,365
40770,ORMISTON COLLEGE,QLD,3590.1,3625.5,-1.0,9,-27.52,153.25,37
14730,UPPER WATERHOUSE RIVER,NT,3491.2,3325.7,-1.0,9,-14.11,133.34,262
2072,BEDFORD DOWNS AIRSTRIP,WA,3307.4,2362.1,-1.0,9,-17.28,127.46,531
59131,MILLBANK,NSW,3303.0,3677.6,-1.0,9,-30.88,152.61,70
94191,HARTZ MOUNTAIN (KEOGHS PIMPLE),TAS,3281.0,3446.6,-1.0,9,-43.20,146.77,831
90188,BENWERRIN,VIC,3196.2,2978.6,-1.0,9,-38.48,143.91,-999
40688,MIVA,QLD,3047.3,2804.2,-1.0,9,-25.96,152.49,44
39352,BUNDABERG ALERT,QLD,2967.0,3042.2,-1.0,9,-24.86,152.35,17
40943,DIECKMANS BRIDGE ALERT,QLD,2625.0,2721.6,-1.0,9,-28.25,152.89,105
55303,MANILLA (ROSEDALE),NSW,2496.1,2214.8,-1.0,9,-30.81,150.75,420
94261,FRANKLIN (SOUTH),TAS,2294.2,2544.2,-1.0,9,-43.12,146.99,33
70340,NICHOLLS (GUNGAHLIN LAKES),NSW,2258.8,2276.5,-1.0,9,-35.18,149.11,605
41550,GRAYS GATE EXCHANGE TM,QLD,2244.4,1906.0,-1.0,9,-27.99,151.28,400
109511,PORONGURUPS,WA,2169.6,2298.4,-1.0,9,-34.66,117.89,250
88126,GOULBURN RIVER @ SEYMOUR,VIC,2150.6,1865.8,-1.0,9,-37.02,145.11,140
41547,WALLANGARRA TM,QLD,2146.8,2287.6,-1.0,9,-28.92,151.93,877
90181,CAMPERDOWN,VIC,2038.8,2329.4,-1.0,9,-38.24,143.14,195
41548,TEXAS TM,QLD,2019.0,1777.8,-1.0,9,-28.87,151.16,272
3101,DAMPIER DOWNS AIRSTRIP,WA,1992.6,2178.3,-1.0,9,-18.51,123.47,140
96083,THE DEN,TAS,1966.6,2011.8,-1.0,9,-41.98,147.05,526
109508,DOYLE ROAD CB1,WA,1945.4,1976.3,-1.0,9,-33.74,115.34,33
73150,STOCKINBINGAL (SUNNYDALE),NSW,1818.8,1800.1,-1.0,9,-34.53,147.84,340
37053,CARTERS BORE,QLD,1814.2,1273.3,-1.0,9,-20.94,139.30,396
91317,RELBIA (JOSEF CHROMY WINES),TAS,1800.5,1920.8,-1.0,9,-41.51,147.20,130
95072,GLENFERN (HOMEBUSH),TAS,1747.6,1990.4,-1.0,9,-42.80,146.99,146
9277,LAKE CHITTERING,WA,1677.8,1883.7,-1.0,9,-31.43,116.09,130
93046,BIRRALEE CREEK,TAS,1609.6,1573.2,-1.0,9,-42.31,147.57,390
93023,STONOR,TAS,1563.2,1708.4,-1.0,9,-42.40,147.39,445
109516,BODDINGTON NORTH,WA,1516.4,1617.0,-1.0,9,-32.78,116.48,216
87184,BREAKWATER (GEELONG RACECOURSE),VIC,1492.0,1585.6,-1.0,9,-38.17,144.38,13
18144,WANILLA,SA,1407.4,1547.5,-1.0,9,-34.54,135.70,129
96070,HERMITAGE (SHANNON RIVER),TAS,1404.2,1578.7,-1.0,9,-42.26,146.88,500
23863,KANMANTOO (MILLBRAE),SA,1180.4,1283.6,-1.0,9,-35.02,139.00,252
95046,BOTHWELL (CLYDE RIVER),TAS,1128.2,1221.1,-1.0,9,-42.38,147.00,350
48190,GOODOOGA (WIRRAWA),NSW,1119.3,1188.3,-1.0,9,-29.35,147.40,131
24032,TAPLAN,SA,916.2,809.3,-1.0,9,-34.54,140.88,50
19120,MAMBRAY CREEK (BERNIE\'S BLOCK),SA,878.2,991.2,-1.0,9,-32.85,138.00,68
31186,SUTTIES CREEK ALERT,QLD,9197.0,7455.1,-1.0,8,-17.68,145.66,640
71075,PERISHER VALLEY AWS,NSW,6364.6,6631.0,-1.0,8,-36.41,148.41,1738
85291,MOUNT BAW BAW,VIC,5658.2,5593.8,-1.0,8,-37.84,146.27,1561
14264,TERRITORY WILDLIFE PARK,NT,5562.8,5430.6,-1.0,8,-12.71,130.99,10
68252,KIAMA (BRIGHTON ST),NSW,4941.8,4712.4,-1.0,8,-34.67,150.85,62
33304,GARGETT ALERT,QLD,4800.0,3241.5,-1.0,8,-21.18,148.74,53
200389,LORD HOWE ISLAND (MILKY WAY),NSW,4563.2,4415.5,-1.0,8,-31.52,159.06,5
60065,WOOTTON,NSW,4539.0,4076.3,-1.0,8,-32.29,152.30,-999
14256,COOINDA AIRSTRIP,NT,4319.0,3873.6,-1.0,8,-12.90,132.53,40
40976,BRISBANE BOTANIC GARDENS MT COOT-THA,QLD,4144.2,3696.7,-1.0,8,-27.48,152.98,65
66059,TERREY HILLS AWS,NSW,4128.6,3789.1,-1.0,8,-33.69,151.23,199
83001,OVENS RIVER @ HARRIETVILLE,VIC,4118.2,3760.4,-1.0,8,-36.88,147.06,-999
14627,BULMAN,NT,3877.4,2981.3,-1.0,8,-13.67,134.34,103
59124,NYMBOIDA (NYMBOIDA RIVER),NSW,3682.5,3776.3,-1.0,8,-29.98,152.72,180
86072,MONBULK (SPRING ROAD),VIC,3566.6,3584.6,-1.0,8,-37.88,145.42,-999
39339,NEARUM RD ALERT,QLD,3319.0,2954.6,-1.0,8,-25.11,151.85,300
60117,MOUNT GEORGE (MANNING RIVER),NSW,3267.0,3045.5,-1.0,8,-31.88,152.15,15
40841,CROFTBY TM,QLD,3263.0,2941.8,-1.0,8,-28.15,152.57,162
68125,OAKDALE (COOYONG PARK),NSW,2954.4,3264.3,-1.0,8,-34.09,150.51,440
69144,BLACK RANGE (GRANDVIEW LANE),NSW,2492.4,2421.2,-1.0,8,-36.73,149.84,245
85308,THORPDALE PEAK,VIC,2308.4,2443.2,-1.0,8,-38.31,146.21,360
33111,MARLBOROUGH HELIPAD TM,QLD,2297.0,1853.5,-1.0,8,-22.82,149.89,107
39193,MT LAWLESS TM,QLD,2221.0,1937.4,-1.0,8,-25.55,151.66,104
74264,MANGOPLAH (FOREST VALE),NSW,2078.0,2007.1,-1.0,8,-35.41,147.25,285
35251,CRAIGMORE AL,QLD,2057.0,1922.9,-1.0,8,-23.88,147.76,231
36094,WAHROONGHA,QLD,1880.2,1282.7,-1.0,8,-24.45,144.11,200
92154,LITTLE SWANPORT (LISDILLON FARM),TAS,1697.8,1654.9,-1.0,8,-42.29,148.00,20
123700,INGLEWOOD,SA,1610.4,2028.5,-1.0,8,-34.81,138.77,372
95074,MAGRA (BLACK HILLS ROAD),TAS,1527.7,1625.3,-1.0,8,-42.74,147.05,201
94258,CLAREMONT (GILLIES ROAD),TAS,1515.9,1760.9,-1.0,8,-42.77,147.23,95
94271,RISDON VALE (LANTANA ROAD),TAS,1492.3,1713.6,-1.0,8,-42.81,147.35,31
49132,HILLSTON (MOUNT VIEW),NSW,1414.2,1182.0,-1.0,8,-33.19,145.31,118
93059,FOSTERVILLE,TAS,1395.8,1372.5,-1.0,8,-41.93,147.43,177
93052,MOUNT MORRISTON (MACQUARIE RIVER),TAS,1287.0,1526.3,-1.0,8,-42.16,147.58,218
8315,GERALDTON AIRPORT,WA,1214.0,1172.2,-1.0,8,-28.80,114.70,30
10511,WICKEPIN SOUTH,WA,1023.8,948.0,-1.0,8,-32.80,117.50,380
76042,BANNERTON (CARINA PARK),VIC,959.6,1009.8,-1.0,8,-34.76,142.74,83
19116,BOOLEROO WHIM (CALLUM BRAE),SA,908.5,1027.9,-1.0,8,-32.77,138.30,341
8302,WONGAN HILLS NORTH,WA,890.2,964.3,-1.0,8,-30.85,116.72,341
21139,PORT PIRIE AERODROME AWS,SA,886.2,879.3,-1.0,8,-33.24,138.00,12
10132,MOUNT HARDEY,WA,861.0,987.7,-1.0,8,-31.92,116.82,283
19114,MINBURRA,SA,812.2,734.0,-1.0,8,-32.43,138.89,332
8318,MINDALLA TBRG,WA,716.4,860.4,-1.0,8,-30.42,116.46,300
17089,KALAMURINA,SA,415.3,605.7,-1.0,8,-27.72,138.25,5
60165,MOORAL CREEK (THE DEN),NSW,6778.0,5182.0,-1.0,7,-31.66,152.37,649
59054,GLENREAGH (CORAMBA STREET),NSW,4139.8,4539.6,-1.0,7,-30.05,152.98,67
66034,ABBOTSFORD (BLACKWALL POINT RD),NSW,4089.9,3959.5,-1.0,7,-33.85,151.13,15
1027,DIGGERS REST,WA,3128.4,2620.5,-1.0,7,-15.64,128.08,14
40738,BROMFLEET TM,QLD,3113.0,2850.9,-1.0,7,-27.91,153.11,28
9998,NORTH WALPOLE,WA,3094.8,3186.4,-1.0,7,-34.95,116.72,73
40868,MT JOSEPH TM,QLD,2962.4,2468.8,-1.0,7,-25.74,152.24,120
3094,WINDJANA GORGE,WA,2905.2,2522.5,-1.0,7,-17.42,124.92,95
39338,OLD RANGE RD ALERT,QLD,2751.0,2898.3,-1.0,7,-25.36,152.10,50
61428,MAITLAND AIRPORT AWS,NSW,2744.4,2610.2,-1.0,7,-32.70,151.49,28
91267,MEANDER (MEANDER RIVER),TAS,2673.6,2920.5,-1.0,7,-41.65,146.62,292
61336,PUTTY (THE GIBBA),NSW,2451.0,1694.6,-1.0,7,-33.16,150.68,330
83095,ANGLERS REST (BUNDARRAH VALLEY),VIC,2379.8,2554.4,-1.0,7,-37.00,147.41,795
92158,NUGENT (TWILIGHT VALLEY TBRG),TAS,2367.8,2326.2,-1.0,7,-42.72,147.75,318
41415,WARAHGAI TM,QLD,2157.6,2082.7,-1.0,7,-28.24,151.53,488
99023,MILEARA PARK,TAS,2148.2,2704.8,-1.0,7,-40.19,148.12,71
91260,STRATHBRIDGE (MEANDER RIVER),TAS,2052.0,1930.8,-1.0,7,-41.49,146.90,160
72142,HOLBROOK (CROFT ST),NSW,2043.2,2367.6,-1.0,7,-35.72,147.31,263
95079,LACHLAN (WILLIAMS ROAD),TAS,2011.8,2287.9,-1.0,7,-42.85,147.03,168
44232,THE 27 MILE GARDEN AL,QLD,1948.0,1093.1,-1.0,7,-26.08,146.42,324
91326,DEDDINGTON (NILE RIVER),TAS,1912.8,2018.9,-1.0,7,-41.60,147.41,240
86338,MELBOURNE (OLYMPIC PARK),VIC,1801.4,1763.4,-1.0,7,-37.83,144.98,8
87016,MOORABOOL RIVER AT MORRISONS,VIC,1767.1,1630.0,-1.0,7,-37.77,144.10,-999
91303,WESTWOOD BRIDGE (MEANDER RIVER),TAS,1739.8,1772.5,-1.0,7,-41.52,147.03,137
9275,MUCHEA,WA,1694.2,1912.1,-1.0,7,-31.59,115.97,60
94260,COLEBROOK (DANIELS ROAD),TAS,1637.3,1831.6,-1.0,7,-42.53,147.47,385
94204,TEA TREE POINT,TAS,1629.2,1663.9,-1.0,7,-42.65,147.36,350
92123,SWAN ISLAND,TAS,1623.0,1805.9,-1.0,7,-40.73,148.13,15
44117,DIRRANBANDI,QLD,1608.7,1363.7,-1.0,7,-28.59,148.23,175
93058,YORK PLAINS (INVERELL),TAS,1461.8,1566.6,-1.0,7,-42.26,147.43,375
94255,DENNES POINT,TAS,1461.0,1542.5,-1.0,7,-43.06,147.36,6
38076,WINDORAH AIRPORT,QLD,1145.8,779.6,-1.0,7,-25.41,142.66,132
76018,MANANGATANG (COCAMBA),VIC,1049.9,902.6,-1.0,7,-35.11,142.92,55
25558,NETHERTON (ROCKLEY GRAZIERS),SA,944.2,1118.7,-1.0,7,-35.47,139.95,18
18218,CEDUNA (NUNONG),SA,874.4,971.2,-1.0,7,-32.11,133.20,54
8316,YALLALIE BASIN,WA,855.4,999.5,-1.0,7,-30.38,115.85,274
10031,YORKRAKINE TBRG,WA,820.4,918.1,-1.0,7,-31.37,117.59,300
7209,COBRA AIRSTRIP,WA,490.6,699.5,-1.0,7,-24.20,116.48,373
32194,COWLEY BEACH (DEFENCE),QLD,9933.4,8901.0,-1.0,6,-17.69,146.11,4
59144,DORRIGO (ELM STREET),NSW,6000.7,4886.7,-1.0,6,-30.33,152.70,728
40209,POINT LOOKOUT,QLD,5364.8,4724.2,-1.0,6,-27.44,153.55,41
14947,UPPER FERGUSSON RIVER,NT,4717.4,3933.5,-1.0,6,-14.01,132.21,186
14984,MOUNT BUNDEY SOUTH (DEFENCE),NT,4546.4,3764.5,-1.0,6,-13.09,131.85,55
14310,OENPELLI AIRPORT,NT,4445.6,4254.1,-1.0,6,-12.33,133.01,8
29182,MORNINGTON ISLAND AIRPORT,QLD,4435.6,3992.3,-1.0,6,-16.66,139.17,10
40973,WINDAROO,QLD,3920.2,3823.9,-1.0,6,-27.75,153.19,13
140007,REDLAND (ALEXANDRA HILLS),QLD,3808.0,3953.1,-1.0,6,-27.54,153.24,51
40376,TYUNGUN ALERT,QLD,3514.0,2998.0,-1.0,6,-28.09,153.16,200
14983,MOUNT BUNDEY NORTH (DEFENCE),NT,3424.4,3931.1,-1.0,6,-12.91,131.87,83
40026,MUNGAR GAYNDAH ST,QLD,3391.3,3222.3,-1.0,6,-25.60,152.59,40
40777,IMBIL ALERT,QLD,3129.0,3370.9,-1.0,6,-26.46,152.68,76
40891,BROOWEENA TM,QLD,2931.8,2893.0,-1.0,6,-25.60,152.26,164
40936,LUMEAH ALERT,QLD,2931.0,2908.2,-1.0,6,-28.06,153.04,90
40983,BEAUDESERT DRUMLEY STREET,QLD,2828.4,2633.6,-1.0,6,-27.97,152.99,48
94268,GEEVESTON (FOURFOOT ROAD),TAS,2630.8,2830.5,-1.0,6,-43.15,146.90,162
85313,NILMA NORTH (WARRAGUL),VIC,2588.0,2641.9,-1.0,6,-38.13,145.99,134
91266,KIMBERLEY (MERSEY RIVER),TAS,2555.8,2540.7,-1.0,6,-41.40,146.50,60
9999,ALBANY AIRPORT,WA,2349.2,2359.4,-1.0,6,-34.94,117.82,68
82171,TINTALDRA (WARRAROONG),VIC,2339.2,2559.3,-1.0,6,-36.04,147.90,-999
2079,HALLS CREEK AIRPORT,WA,2331.2,1955.4,-1.0,6,-18.23,127.67,409
61185,HUNTER RIVER (GLENBAWN DAM D/S),NSW,2133.6,2042.3,-1.0,6,-32.11,150.99,230
9264,TAMALA PARK (MINDARIE),WA,1950.3,1913.6,-1.0,6,-31.71,115.72,20
43075,MUNNAWEENA,QLD,1935.7,1726.0,-1.0,6,-25.80,147.95,424
44234,BARRADEEN AL,QLD,1914.0,1491.3,-1.0,6,-26.04,146.43,355
61360,SCONE (KINGDON PONDS),NSW,1844.5,1586.3,-1.0,6,-32.05,150.85,198
9281,MILLENDON (SWAN VALLEY),WA,1825.6,1850.9,-1.0,6,-31.81,116.02,16
94247,TINDERBOX (TINDERBOX ROAD),TAS,1816.1,1887.9,-1.0,6,-43.03,147.31,48
65098,NEUREA (FERNFIELD),NSW,1777.6,1887.8,-1.0,6,-32.68,148.92,335
41124,KILBRONAE TM,QLD,1723.0,1697.5,-1.0,6,-28.28,150.37,225
109518,PRESTON VALE VINEYARD,WA,1692.2,2125.2,-1.0,6,-33.56,116.04,109
44230,BINNOWEE AL,QLD,1566.0,1348.0,-1.0,6,-26.48,146.09,200
94254,DUNALLEY (STROUD POINT),TAS,1552.0,1751.6,-1.0,6,-42.90,147.79,12
51162,WALGETT (BREWON AWS),NSW,1507.6,1510.8,-1.0,6,-30.24,147.53,130
74270,DENILIQUIN (MAYRUNG (MELBERGEN)),NSW,1452.4,1324.7,-1.0,6,-35.47,145.30,100
26104,NARACOORTE (VIEW BANK),SA,1442.6,1550.7,-1.0,6,-36.85,140.56,42
48250,NOONA AWS,NSW,1401.4,1200.1,-1.0,6,-31.73,144.93,179
24591,HARROGATE (MOUNT BEEVOR SOUTH),SA,1283.6,1232.7,-1.0,6,-34.93,139.03,489
94250,HOBART AIRPORT EAST,TAS,1210.4,1381.4,-1.0,6,-42.83,147.51,2
18230,COFFIN BAY (POINT AVOID),SA,1121.8,1229.1,-1.0,6,-34.68,135.34,35
21140,WATERLOO EAST (SCHUTZ ROAD),SA,1114.4,1082.1,-1.0,6,-34.00,138.91,498
23379,MOUNT RUFUS (DUTTON),SA,1107.0,1113.8,-1.0,6,-34.31,139.12,512
78018,KELLALAC (WARRACKNABEAL AIRPORT),VIC,1076.2,1110.5,-1.0,6,-36.32,142.42,118
24592,CALLINGTON HILL (COLRAE),SA,1002.6,987.1,-1.0,6,-35.08,139.07,216
46136,WANAARING (BORRONA DOWNS AWS),NSW,747.6,694.4,-1.0,6,-29.76,143.11,121
7212,GINGINJIBBY,WA,622.6,741.8,-1.0,6,-24.61,117.65,-999
46137,BOULLIA,NSW,493.2,486.4,-1.0,6,-30.07,141.88,100
46142,SMITHVILLE AWS,NSW,438.0,444.9,-1.0,6,-30.07,141.01,94
32117,ALLINGHAM FORREST DRIVE,QLD,8467.2,7062.0,-1.0,5,-18.69,146.30,10
96077,CRADLE MOUNTAIN VISITORS CENTRE,TAS,6461.0,6940.5,-1.0,5,-41.60,145.93,810
60164,YARROWITCH (RUSHBROOK),NSW,5148.0,4144.8,-1.0,5,-31.35,152.01,1168
140010,TIN CAN BAY (DEFENCE),QLD,4711.4,4762.6,-1.0,5,-25.94,152.96,31
14055,UPPER ADELAIDE RIVER,NT,4282.8,5183.6,-1.0,5,-13.48,131.12,206
95059,TIM SHEA (SUMMIT),TAS,4219.2,4426.6,-1.0,5,-42.72,146.47,925
140009,GREENBANK (DEFENCE),QLD,3439.8,3634.8,-1.0,5,-27.69,152.99,42
85310,YARRAGON SOUTH,VIC,3332.6,3513.0,-1.0,5,-38.27,146.09,413
14808,BRADSHAW - ANGALLARI VALLEY (DEFENCE),NT,3258.2,2754.3,-1.0,5,-15.44,130.57,60
91271,NUNAMARA OFFTAKE (ST PATRICKS RIVER),TAS,3078.0,3138.3,-1.0,5,-41.40,147.30,351
40822,GREGOR CREEK TM,QLD,2451.0,2598.8,-1.0,5,-27.00,152.40,83
109519,VASSE,WA,2198.9,2240.5,-1.0,5,-33.69,115.29,-999
40827,BAN BAN TM,QLD,2158.0,1795.6,-1.0,5,-25.71,151.81,122
94270,NUBEENA (MARYS ROAD),TAS,2005.4,2242.7,-1.0,5,-43.09,147.73,72
39320,JONES WEIR TW TM,QLD,2004.0,1908.4,-1.0,5,-25.59,151.30,104
91263,CORRA LINN (NORTH ESK RIVER),TAS,1848.4,1854.5,-1.0,5,-41.49,147.23,41
62106,MOLONG (BONNIE DOON),NSW,1830.0,1722.4,-1.0,5,-32.99,148.93,560
85314,EAST SALE AIRPORT,VIC,1800.8,1889.7,-1.0,5,-38.10,147.14,5
23922,FORRESTON ALERT,SA,1757.2,1864.6,-1.0,5,-34.79,138.90,392
44143,HEATHER STATION,QLD,1577.5,1328.7,-1.0,5,-28.08,147.40,176
9280,LANCELIN (DEFENCE),WA,1451.6,1600.4,-1.0,5,-30.84,115.23,3
42106,FENTON TM,QLD,1416.0,1418.0,-1.0,5,-28.94,148.74,30
42105,NINDIGULLY TM,QLD,1368.0,1361.4,-1.0,5,-28.42,148.83,25
10923,WILLIAMS NORTH,WA,1219.6,1244.9,-1.0,5,-33.00,116.85,298
23380,KAPUNDA WEST (KAPLEE),SA,1170.2,1414.2,-1.0,5,-34.30,138.85,391
8301,BARBERTON EAST,WA,1142.8,1212.7,-1.0,5,-30.75,116.13,325
18204,ELLISTON (THREE LAKES),SA,1108.4,1228.5,-1.0,5,-33.59,134.89,8
5098,KARIJINI NORTH,WA,952.2,1054.2,-1.0,5,-22.30,118.45,474
23381,NGAPALA,SA,931.6,1099.8,-1.0,5,-34.06,139.01,509
23382,ANGASTON (MILTON PARK (CORNBROOK)),SA,916.8,1032.9,-1.0,5,-34.50,139.08,356
13044,WILUNA AERO,WA,811.6,641.5,-1.0,5,-26.63,120.22,502
18229,CULTANA (DEFENCE),SA,665.0,769.5,-1.0,5,-32.68,137.37,171
97085,MOUNT READ,TAS,10660.6,10762.0,-1.0,4,-41.84,145.54,1120
60158,WHOOTA,NSW,6064.7,5517.0,-1.0,4,-32.31,152.48,70
68264,JERVIS BAY NSW (JERVIS BAY AIRFIELD AWS),NSW,5573.4,5572.8,-1.0,4,-35.14,150.70,57
