Country Name,Country Code,precip_mm,agri_land_pct,cereal_yield_kgph,crop_index_2014_2016_100,irrigated_agri_pct,capture_fish_t,aquaculture_t,cereal_production_t,cereal_area_ha,fish_total_t,food_index_2014_2016_100,fertilizer_consump_pct_of_prod
St. Lucia,LCA,2301.0,16.295081967213115,,77.63,,1853.988,209.43,,,2063.418,90.59,
St. Martin (French part),MAF,,,,,,180.0,0.0,,,180.0,,
St. Vincent and the Grenadines,VCT,1583.0,17.94871794871795,14222.2,102.52,,1251.0,13.0,640.0,45.0,1264.0,101.11,
Sudan,SDN,250.0,60.31316916488223,678.1,126.22,,44250.0,6500.0,7680124.14,11326242.0,50750.0,116.41,
Suriname,SUR,2331.0,0.4485768618696646,3763.2,80.24,,33695.0,45.0,184264.0,48965.0,33740.0,87.89,
Sweden,SWE,624.0,7.3536633274405805,6107.4,103.06,,152028.063,11327.2,5823200.0,953470.0,163355.263,101.15,
Switzerland,CHE,1537.0,37.87129365676166,6081.1,97.36,,1485.92,2500.0,865060.0,142254.0,3985.92,97.39,
Tajikistan,TJK,691.0,28.07262771093018,3561.5,131.33,14.58151532262204,2507.001,2248.0,1342602.5,376977.0,4755.001,150.12,
Tanzania,TZA,1071.0,44.616391962068185,1815.4,100.37,,472925.761,75896.046,11933596.69,6573550.0,548821.807,109.9,1798.7293859660629
Thailand,THA,1622.0,45.998160073597056,3105.6,106.6,,1428695.33,1001024.0,38829805.16,12503333.0,2429719.33,104.2,368.2853322406603
Timor-Leste,TLS,1500.0,22.958977807666443,1943.8,107.66,,6698.99,1125.0,172500.0,88745.0,7823.99,101.69,
Togo,TGO,1168.0,70.23349880492738,1167.8,119.81,,21505.22,1151.0,1439850.0,1233007.0,22656.22,128.24,
Tonga,TON,,48.61111111111111,,97.18,,1326.038,100.0,,,1426.038,97.78,
Trinidad and Tobago,TTO,2200.0,10.526315789473683,1639.3,98.55,,13069.012,7.4,5125.0,3126.0,13076.412,93.08,0.7348438456827924
Tunisia,TUN,207.0,62.4388516992791,1640.7,111.48,,112352.858,20926.057,1713873.84,1044569.0,133278.91499999998,109.55,41.88917206674667
Turkiye,TUR,593.0,50.02533685017476,3464.7,125.29,12.126957741357367,335002.9,514823.0,38667033.0,11160186.0,849825.9,128.92,133.83287376307925
Turkmenistan,TKM,161.0,84.55365692762751,1892.4,121.16,4.142264995230821,15097.0,175.0,1556079.24,822262.0,15272.0,112.03,67.6729019217514
Turks and Caicos Islands,TCA,,1.0526315789473684,,,,3241.0,0.0,,,3241.0,,
Tuvalu,TUV,,60.0,,112.68,,42781.0,0.0,,,42781.0,110.82,
Uganda,UGA,1180.0,71.8880909634949,1963.9,148.35,,444935.0,101422.0,5525000.0,2813238.0,546357.0,135.53,
